               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.033415,             0.11553,           0.0010408,             0.85617,             0.90653,             0.91597,             0.57327,            0.028598,             0.06876,          0.00055992,            0.004555,            0.004555,            0.004555
                  57,             0.03419,             0.12013,           0.0010253,             0.85931,             0.91241,             0.91636,             0.59099,            0.025913,            0.066859,          0.00050226,            0.004456,            0.004456,            0.004456
                  58,            0.033842,             0.11653,          0.00099728,             0.84864,             0.90508,             0.91082,             0.59103,            0.026076,            0.066679,          0.00053951,            0.004357,            0.004357,            0.004357
                  59,            0.033183,             0.11537,          0.00095322,             0.83792,             0.91114,             0.90793,             0.58737,            0.026019,            0.067552,          0.00050423,            0.004258,            0.004258,            0.004258
                  60,            0.033404,             0.11531,          0.00094164,              0.8395,             0.91707,              0.9166,             0.58149,            0.025897,            0.075555,          0.00047729,            0.004159,            0.004159,            0.004159
                  61,             0.03309,             0.11175,           0.0010458,             0.85976,             0.89122,             0.90757,             0.59536,            0.026442,            0.069373,          0.00053456,             0.00406,             0.00406,             0.00406
                  62,            0.033037,             0.11561,           0.0010464,             0.86134,             0.88776,             0.91236,             0.60455,            0.025354,            0.068746,          0.00047661,            0.003961,            0.003961,            0.003961
                  63,            0.033175,              0.1167,          0.00092453,             0.87788,             0.88279,             0.91461,             0.60361,            0.025489,             0.06892,          0.00051661,            0.003862,            0.003862,            0.003862
                  64,            0.033348,             0.11413,          0.00096268,              0.8439,             0.91483,              0.9149,             0.60379,            0.025557,            0.069599,          0.00046216,            0.003763,            0.003763,            0.003763
                  65,            0.032966,             0.11245,          0.00091145,             0.84898,             0.91336,              0.9104,             0.60758,            0.026138,             0.06778,          0.00052649,            0.003664,            0.003664,            0.003664
                  66,            0.032556,             0.11294,          0.00094021,             0.83755,              0.9068,             0.90579,             0.59942,             0.02594,            0.067232,          0.00054314,            0.003565,            0.003565,            0.003565
                  67,            0.032552,             0.11239,          0.00087765,             0.83641,             0.91721,             0.92034,             0.60377,            0.025964,            0.066113,          0.00048218,            0.003466,            0.003466,            0.003466
                  68,            0.032591,             0.11523,          0.00087467,             0.84321,             0.91996,             0.92009,             0.59878,            0.025746,            0.068526,          0.00040497,            0.003367,            0.003367,            0.003367
